player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Janis Blaswich,34,['Germany'],GK,€700k,RB Leipzig,Bayer 04 Leverkusen,€2.00m,25/26
Tim Oermann,21,['Germany'],RB,€5.00m,VfL Bochum,Bayer 04 Leverkusen,€1.90m,25/26
Farid Alfa-Ruprecht,19,"['Germany', 'Ghana']",RW,-,Manchester City U21,Bayer 04 Leverkusen,€1.30m,25/26
Axel Tape,17,"['France', ""Cote d'Ivoire""]",CB,€2.00m,Paris Saint-Germain Espoirs,Bayer 04 Leverkusen,free transfer,25/26
Lucas Vázquez,34,['Spain'],RB,€3.00m,Real Madrid,Bayer 04 Leverkusen,free transfer,25/26
Issa Traoré,18,['Mali'],CB,-,Djoliba AC,Bayer 04 Leverkusen,?,25/26
Florian Wirtz,22,['Germany'],AM,€140.00m,Bayer 04 Leverkusen,Liverpool FC,€125.00m,25/26
Jeremie Frimpong,24,"['Netherlands', 'Ghana']",RB,€50.00m,Bayer 04 Leverkusen,Liverpool FC,€40.00m,25/26
Amine Adli,25,"['Morocco', 'France']",LW,€18.00m,Bayer 04 Leverkusen,AFC Bournemouth,€21.00m,25/26
Odilon Kossounou,24,"[""Cote d'Ivoire""]",CB,€25.00m,Bayer 04 Leverkusen,Atalanta BC,€20.00m,25/26
Granit Xhaka,32,['Switzerland'],DM,€12.00m,Bayer 04 Leverkusen,Sunderland AFC,€15.00m,25/26
Gustavo Puerta,22,['Colombia'],CM,€3.50m,Bayer 04 Leverkusen,Racing Santander,€3.50m,25/26
Lukas Hradecky,35,"['Finland', 'Slovakia']",GK,€2.00m,Bayer 04 Leverkusen,AS Monaco,€3.00m,25/26
Luca Novodomsky,20,['Germany'],GK,-,Bayer 04 Leverkusen,TSV Solingen,free transfer,25/26
Jonathan Burkardt,24,['Germany'],CF,€35.00m,1.FSV Mainz 05,Eintracht Frankfurt,€21.00m,25/26
Ritsu Doan,27,['Japan'],RW,€25.00m,SC Freiburg,Eintracht Frankfurt,€21.00m,25/26
Rasmus Kristensen,27,['Denmark'],RB,€14.00m,Leeds United,Eintracht Frankfurt,€6.00m,25/26
Michael Zetterer,30,['Germany'],GK,€4.50m,SV Werder Bremen,Eintracht Frankfurt,€6.00m,25/26
Love Arrhov,17,['Sweden'],AM,€5.00m,IF Brommapojkarna,Eintracht Frankfurt,€4.60m,25/26
Hugo Ekitiké,23,"['France', 'Cameroon']",CF,€75.00m,Eintracht Frankfurt,Liverpool FC,€95.00m,25/26
Tuta,26,['Brazil'],CB,€15.00m,Eintracht Frankfurt,Al-Duhail SC,€15.00m,25/26
Paxten Aaronson,21,['United States'],AM,€8.00m,Eintracht Frankfurt,Colorado Rapids,€7.00m,25/26
Igor Matanovic,22,"['Croatia', 'Germany']",CF,€5.00m,Eintracht Frankfurt,SC Freiburg,€6.70m,25/26
Nacho Ferri,20,['Spain'],CF,€2.20m,Eintracht Frankfurt,KVC Westerlo,€2.00m,25/26
Kevin Trapp,35,['Germany'],GK,€2.50m,Eintracht Frankfurt,Paris FC,€1.00m,25/26
Jobe Bellingham,19,"['England', 'Ireland']",CM,€22.00m,Sunderland AFC,Borussia Dortmund,€30.50m,25/26
Fábio Silva,23,['Portugal'],CF,€20.00m,Wolverhampton Wanderers,Borussia Dortmund,€22.50m,25/26
Yan Couto,23,"['Brazil', 'Portugal']",RM,€20.00m,Manchester City,Borussia Dortmund,€20.00m,25/26
Carney Chukwuemeka,21,"['England', 'Nigeria']",CM,€18.00m,Chelsea FC,Borussia Dortmund,€20.00m,25/26
Daniel Svensson,23,['Sweden'],LM,€12.00m,FC Nordsjaelland,Borussia Dortmund,€6.50m,25/26
Patrick Drewes,32,['Germany'],GK,€500k,VfL Bochum,Borussia Dortmund,€200k,25/26
Jamie Gittens,20,"['England', 'Barbados']",LW,€50.00m,Borussia Dortmund,Chelsea FC,€56.00m,25/26
Soumaïla Coulibaly,21,"['France', 'Mali']",CB,€8.00m,Borussia Dortmund,RC Strasbourg Alsace,€7.50m,25/26
Youssoufa Moukoko,20,"['Germany', 'Cameroon']",CF,€10.00m,Borussia Dortmund,FC Copenhagen,€5.00m,25/26
Giovanni Reyna,22,"['United States', 'Portugal']",AM,€7.00m,Borussia Dortmund,Borussia Mönchengladbach,€4.00m,25/26
Marcel Lotka,24,"['Germany', 'Poland']",GK,€800k,Borussia Dortmund,Fortuna Düsseldorf,free transfer,25/26
Sébastien Haller,31,"[""Cote d'Ivoire"", 'France']",CF,€3.00m,Borussia Dortmund,FC Utrecht,free transfer,25/26
Yuito Suzuki,23,['Japan'],AM,€10.00m,Bröndby IF,SC Freiburg,€10.00m,25/26
Cyriaque Irié,20,"['Burkina Faso', ""Cote d'Ivoire""]",RW,€8.00m,ESTAC Troyes,SC Freiburg,€8.50m,25/26
Philipp Treu,24,['Germany'],RB,€5.00m,FC St. Pauli,SC Freiburg,€5.50m,25/26
Derry Scherhant,22,['Germany'],LW,€4.00m,Hertha BSC,SC Freiburg,€2.00m,25/26
Anthony Jung,33,"['Germany', 'Spain']",CB,€1.00m,SV Werder Bremen,SC Freiburg,free transfer,25/26
Kiliann Sildillia,23,"['France', 'Guadeloupe']",RB,€10.00m,SC Freiburg,PSV Eindhoven,€5.80m,25/26
Michael Gregoritsch,31,['Austria'],CF,€3.00m,SC Freiburg,Bröndby IF,€1.50m,25/26
Kenneth Schmidt,23,"['Germany', 'Nigeria']",CB,€800k,SC Freiburg,Fortuna Düsseldorf,€400k,25/26
Manuel Gulde,34,['Germany'],CB,€400k,SC Freiburg,Retired,-,25/26
Benedict Hollerbach,24,['Germany'],CF,€12.00m,1.FC Union Berlin,1.FSV Mainz 05,€10.00m,25/26
William Bøving,22,['Denmark'],CF,€8.00m,SK Sturm Graz,1.FSV Mainz 05,€3.50m,25/26
Kasey Bos,21,"['Australia', 'Netherlands']",LB,€450k,Melbourne Victory,1.FSV Mainz 05,€500k,25/26
Konstantin Schopp,19,['Austria'],CB,€400k,SK Sturm Graz II,1.FSV Mainz 05,free transfer,25/26
Ludovic Ajorque,31,"['France', 'Réunion']",CF,€4.00m,1.FSV Mainz 05,Stade Brestois 29,€2.00m,25/26
Edimilson Fernandes,29,['Switzerland'],DM,€3.00m,1.FSV Mainz 05,BSC Young Boys,€600k,25/26
Conrad Harder,20,['Denmark'],CF,€24.00m,Sporting CP,RB Leipzig,€24.00m,25/26
Arthur Vermeeren,20,['Belgium'],DM,€22.00m,Atlético de Madrid,RB Leipzig,€20.00m,25/26
Yan Diomande,18,"[""Cote d'Ivoire""]",LW,€1.50m,CD Leganés,RB Leipzig,€20.00m,25/26
Rômulo,23,['Brazil'],CF,€11.00m,Göztepe,RB Leipzig,€20.00m,25/26
Johan Bakayoko,22,"['Belgium', ""Cote d'Ivoire""]",RW,€30.00m,PSV Eindhoven,RB Leipzig,€18.00m,25/26
Ezechiel Banzuzi,20,"['Netherlands', 'DR Congo']",CM,€13.00m,Oud-Heverlee Leuven,RB Leipzig,€16.00m,25/26
Andrija Maksimovic,18,['Serbia'],AM,€15.00m,Red Star Belgrade,RB Leipzig,€14.00m,25/26
Max Finkgräfe,21,['Germany'],LB,€4.00m,1.FC Köln,RB Leipzig,€4.00m,25/26
Benjamin Sesko,22,['Slovenia'],CF,€70.00m,RB Leipzig,Manchester United,€76.50m,25/26
Xavi Simons,22,"['Netherlands', 'Suriname']",AM,€70.00m,RB Leipzig,Tottenham Hotspur,€65.00m,25/26
Mohamed Simakan,25,"['France', 'Guinea']",CB,€23.00m,RB Leipzig,Al-Nassr FC,€35.00m,25/26
Ilaix Moriba,22,"['Guinea', 'Spain']",CM,€6.00m,RB Leipzig,Celta de Vigo,€6.00m,25/26
André Silva,29,['Portugal'],CF,€4.00m,RB Leipzig,Elche CF,€1.00m,25/26
Yussuf Poulsen,31,"['Denmark', 'Tanzania']",CF,€5.00m,RB Leipzig,Hamburger SV,€1.00m,25/26
Nuha Jatta,19,"['Germany', 'The Gambia']",AM,€250k,RB Leipzig,VfB Stuttgart II,?,25/26
Tim Köhler,20,['Germany'],CB,€300k,RB Leipzig,VfB Stuttgart II,?,25/26
Samuel Mbangula,21,"['Belgium', 'DR Congo']",LW,€14.00m,Juventus FC,SV Werder Bremen,€10.00m,25/26
Marvin Ducksch,31,['Germany'],CF,€6.00m,SV Werder Bremen,Birmingham City,€2.00m,25/26
Milos Veljkovic,29,"['Serbia', 'Switzerland']",CB,€3.00m,SV Werder Bremen,Red Star Belgrade,free transfer,25/26
Oliver Burke,28,['Scotland'],CF,€3.00m,SV Werder Bremen,1.FC Union Berlin,free transfer,25/26
