Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
137,Maxwel Cornet,CIV,"['FW', 'MF']",Genoa,27,1996,2.7,8,2.93,6,0,2,0,0,0,1,0.37,1,0,0,0,0,0,2024-2025
138,Joaquín Correa,ARG,"['FW', 'MF']",Inter,29,1994,8.1,25,3.07,21,0,2,1,1,0,4,0.49,3,0,1,0,0,0,2024-2025
139,Alberto costa,POR,['DF'],Juventus,20,2003,4.0,7,1.76,4,0,1,2,0,0,1,0.25,1,0,0,0,0,0,2024-2025
140,Lassana Coulibaly,MLI,['MF'],Lecce,28,1996,29.6,46,1.55,34,0,1,1,7,3,2,0.07,1,0,0,0,1,0,2024-2025
141,Woyo Coulibaly,MLI,['DF'],Parma,25,1999,12.0,19,1.58,17,0,1,0,1,0,3,0.25,1,0,1,0,1,0,2024-2025
142,Bryan Cristante,ITA,['MF'],Roma,29,1995,22.7,51,2.24,46,0,0,4,1,0,5,0.22,5,0,0,0,0,0,2024-2025
143,Domen Črnigoj,SVN,['MF'],Venezia,28,1995,1.5,2,1.32,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
144,Juan Cuadrado,COL,"['DF', 'MF']",Atalanta,36,1988,9.2,37,4.00,27,7,1,0,2,0,3,0.32,1,1,0,0,1,0,2024-2025
145,Patrick Cutrone,ITA,['FW'],Como,26,1998,22.7,49,2.15,33,0,1,10,3,2,6,0.26,6,0,0,0,0,0,2024-2025
146,Wylan Cyprien,FRA,['MF'],Parma,29,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
147,Danilo D'Ambrosio,ITA,['DF'],Monza,35,1988,12.2,8,0.66,8,0,0,0,0,0,1,0.08,1,0,0,0,0,0,2024-2025
148,Lucas Da Cunha,FRA,['MF'],Como,23,2001,29.0,110,3.79,70,28,1,6,4,1,7,0.24,4,2,0,0,0,1,2024-2025
149,Samuel Dahl,SWE,"['DF', 'MF']",Roma,24,2000,0.5,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
150,Thijs Dallinga,NED,['FW'],Bologna,23,2000,12.8,27,2.11,20,0,0,3,3,1,5,0.39,3,0,0,0,1,1,2024-2025
151,Maat Daniel Caprini,ITA,['FW'],Fiorentina,18,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
152,Flavius Daniliuc,AUT,['DF'],Hellas Verona,23,2001,11.2,11,0.98,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
153,Danilo,BRA,['DF'],Juventus,33,1991,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0,2024-2025
154,Matteo Darmian,ITA,['DF'],Inter,34,1989,19.8,34,1.72,26,3,0,1,2,2,4,0.20,4,0,0,0,0,0,2024-2025
155,Juan David Cabal,COL,['DF'],Juventus,23,2001,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0,2024-2025
156,Keinan Davis,ENG,['FW'],Udinese,26,1998,11.8,35,2.95,27,0,4,3,0,1,2,0.17,0,0,1,1,0,0,2024-2025
157,Paweł Dawidowicz,POL,"['DF', 'MF']",Hellas Verona,29,1995,20.5,8,0.39,6,2,0,0,0,0,1,0.05,1,0,0,0,0,0,2024-2025
158,Charles De Ketelaere,BEL,"['MF', 'FW']",Atalanta,23,2001,23.0,88,3.83,73,0,5,7,3,0,14,0.61,11,0,1,2,0,0,2024-2025
159,Mattia De Sciglio,ITA,['DF'],Empoli,31,1992,8.5,8,0.94,5,1,0,0,1,1,0,0.00,0,0,0,0,0,0,2024-2025
160,Lorenzo De Silvestri,ITA,['DF'],Bologna,36,1988,11.8,14,1.19,10,2,0,2,0,0,2,0.17,1,0,0,1,0,0,2024-2025
161,Koni De Winter,BEL,['DF'],Genoa,22,2002,23.7,15,0.63,11,2,0,0,1,1,1,0.04,1,0,0,0,0,0,2024-2025
162,Alessandro Deiola,ITA,['MF'],Cagliari,28,1995,15.9,26,1.63,19,1,0,3,2,1,3,0.19,2,0,0,1,0,0,2024-2025
163,Enrico Del Prato,ITA,['DF'],Parma,24,1999,32.7,32,0.98,28,2,0,0,1,1,1,0.03,0,0,0,0,0,1,2024-2025
164,Fisayo Dele-Bashiru,NGA,"['MF', 'FW']",Lazio,23,2001,10.5,24,2.28,17,0,5,2,0,0,1,0.09,1,0,0,0,0,0,2024-2025
165,Ali Dembélé,FRA,['DF'],Torino,20,2004,4.3,7,1.62,5,0,2,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
166,Michele Di Gregorio,ITA,['GK'],Juventus,27,1997,33.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
167,Giovanni Di Lorenzo,ITA,['DF'],Napoli,30,1993,37.0,80,2.16,72,4,0,2,1,1,8,0.22,7,0,0,1,0,0,2024-2025
168,Boulaye Dia,SEN,"['MF', 'FW']",Lazio,27,1996,24.2,55,2.27,40,0,4,8,2,1,8,0.33,7,0,0,1,0,0,2024-2025
