player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Amir Murillo,27,['Panama'],RB,€3.00m,RSC Anderlecht,Olympique Marseille,€2.50m,23/24
Rubén Blanco,28,['Spain'],GK,€4.00m,Celta de Vigo,Olympique Marseille,€1.50m,23/24
Pierre-Emerick Aubameyang,34,"['Gabon', 'France']",CF,€4.00m,Chelsea FC,Olympique Marseille,free transfer,23/24
Renan Lodi,25,"['Brazil', 'Italy']",LB,€20.00m,Olympique Marseille,Al-Hilal SFC,€23.00m,23/24
Cengiz Ünder,26,['Türkiye'],RW,€20.00m,Olympique Marseille,Fenerbahce,€15.00m,23/24
Isaak Touré,20,"['France', ""Cote d'Ivoire""]",CB,€6.00m,Olympique Marseille,FC Lorient,€8.00m,23/24
Luis Suárez,25,"['Colombia', 'Spain']",CF,€8.00m,Olympique Marseille,UD Almería,€8.00m,23/24
Ruslan Malinovskyi,30,['Ukraine'],AM,€10.00m,Olympique Marseille,Genoa CFC,€7.70m,23/24
Arkadiusz Milik,29,['Poland'],CF,€8.00m,Olympique Marseille,Juventus FC,€7.30m,23/24
Nemanja Radonjić,27,['Serbia'],LW,€4.00m,Olympique Marseille,Torino FC,€1.70m,23/24
Bartuğ Elmaz,20,['Türkiye'],DM,€300k,Olympique Marseille,Fenerbahce,€1.40m,23/24
Alexis Sánchez,34,['Chile'],CF,€4.00m,Olympique Marseille,Inter Milan,free transfer,23/24
Dimitri Payet,36,"['France', 'Réunion']",AM,€1.80m,Olympique Marseille,Clube de Regatas Vasco da Gama,free transfer,23/24
Sead Kolasinac,30,"['Bosnia-Herzegovina', 'Germany']",CB,€8.00m,Olympique Marseille,Atalanta BC,free transfer,23/24
Kevin Strootman,33,['Netherlands'],CM,€1.30m,Olympique Marseille,Genoa CFC,free transfer,23/24
Folarin Balogun,22,"['United States', 'England']",CF,€30.00m,Arsenal FC,AS Monaco,€30.00m,23/24
Denis Zakaria,26,"['Switzerland', 'DR Congo']",DM,€18.00m,Juventus FC,AS Monaco,€20.00m,23/24
Mohammed Salisu,24,['Ghana'],CB,€18.00m,Southampton FC,AS Monaco,€15.00m,23/24
Wilfried Singo,22,"[""Cote d'Ivoire""]",RB,€12.00m,Torino FC,AS Monaco,€9.10m,23/24
Philipp Köhn,25,"['Switzerland', 'Germany']",GK,€4.50m,Red Bull Salzburg,AS Monaco,€8.00m,23/24
Kassoum Ouattara,19,"['France', ""Cote d'Ivoire""]",LB,€600k,Amiens SC,AS Monaco,€2.00m,23/24
Axel Disasi,25,"['France', 'DR Congo']",CB,€30.00m,AS Monaco,Chelsea FC,€45.00m,23/24
Jean Lucas,25,['Brazil'],CM,€5.00m,AS Monaco,Santos FC,€6.00m,23/24
Kevin Volland,31,['Germany'],AM,€8.00m,AS Monaco,1.FC Union Berlin,€4.00m,23/24
Gelson Martins,28,"['Portugal', 'Cape Verde']",RW,€2.50m,AS Monaco,Olympiacos Piraeus,€3.00m,23/24
Yllan Okou,20,"['France', ""Cote d'Ivoire""]",CB,€300k,AS Monaco,SC Bastia,€500k,23/24
Arthur Zagré,21,"['France', 'Burkina Faso']",LB,€700k,AS Monaco,Excelsior Rotterdam,free transfer,23/24
Jean Marcelin,23,"['Madagascar', 'France']",CB,€2.00m,AS Monaco,FC Girondins Bordeaux,free transfer,23/24
Anthony Musaba,22,"['Netherlands', 'DR Congo']",LW,€800k,AS Monaco,Sheffield Wednesday,free transfer,23/24
Pelé,31,"['Guinea-Bissau', 'Portugal']",DM,€600k,AS Monaco,Retired,-,23/24
Enzo Le Fée,23,['France'],CM,€20.00m,FC Lorient,Stade Rennais FC,€20.00m,23/24
Azor Matusiwa,25,"['Netherlands', 'Angola']",DM,€10.00m,Stade Reims,Stade Rennais FC,€15.50m,23/24
Fabian Rieder,21,['Switzerland'],AM,€15.00m,BSC Young Boys,Stade Rennais FC,€15.00m,23/24
Ludovic Blas,25,"['France', 'Martinique']",RW,€20.00m,FC Nantes,Stade Rennais FC,€15.00m,23/24
Alidu Seidu,23,['Ghana'],CB,€7.00m,Clermont Foot 63,Stade Rennais FC,€11.00m,23/24
Bertuğ Yıldırım,21,['Türkiye'],CF,€2.70m,Hatayspor,Stade Rennais FC,€5.40m,23/24
Nemanja Matić,35,"['Serbia', 'Slovakia']",DM,€4.00m,AS Roma,Stade Rennais FC,€2.50m,23/24
Geoffrey Lembet,34,"['Central African Republic', 'France']",GK,€150k,CS Sedan-Ardennes,Stade Rennais FC,free transfer,23/24
Gauthier Gallon,30,['France'],GK,€2.00m,ESTAC Troyes,Stade Rennais FC,?,23/24
Jérémy Doku,21,"['Belgium', 'Ghana']",LW,€28.00m,Stade Rennais FC,Manchester City,€60.00m,23/24
Lesley Ugochukwu,19,"['France', 'Nigeria']",DM,€9.00m,Stade Rennais FC,Chelsea FC,€27.00m,23/24
Lovro Majer,25,['Croatia'],AM,€20.00m,Stade Rennais FC,VfL Wolfsburg,€25.00m,23/24
Loïc Badé,23,"['France', ""Cote d'Ivoire""]",CB,€12.00m,Stade Rennais FC,Sevilla FC,€12.00m,23/24
Serhou Guirassy,27,"['Guinea', 'France']",CF,€14.00m,Stade Rennais FC,VfB Stuttgart,€9.00m,23/24
Andy Diouf,20,"['France', 'Senegal']",CM,€7.00m,Stade Rennais FC,FC Basel 1893,€5.50m,23/24
Loum Tchaouna,19,"['France', 'Chad']",RW,€1.80m,Stade Rennais FC,US Salernitana 1919,€3.00m,23/24
Nemanja Matić,35,"['Serbia', 'Slovakia']",DM,€3.50m,Stade Rennais FC,Olympique Lyon,€2.60m,23/24
Birger Meling,28,['Norway'],LB,€5.00m,Stade Rennais FC,FC Copenhagen,€2.00m,23/24
Mohamed Jaouab,21,['Morocco'],CB,€150k,Stade Rennais FC,Amiens SC,€400k,23/24
Romain Salin,38,['France'],GK,€150k,Stade Rennais FC,CS Marítimo,free transfer,23/24
Hamari Traoré,31,['Mali'],RB,€10.00m,Stade Rennais FC,Real Sociedad,free transfer,23/24
Flavien Tait,30,['France'],CM,€6.00m,Stade Rennais FC,Samsunspor,free transfer,23/24
Noah Françoise,20,"['France', 'Senegal']",CB,€350k,Stade Rennais FC,CS Marítimo,?,23/24
Junior Kadile,20,"['France', 'DR Congo']",LW,€600k,Stade Rennais FC,Stade Lavallois,?,23/24
Xeka,28,['Portugal'],CM,€6.00m,Stade Rennais FC,Without Club,-,23/24
Elias Damergy,20,"['Tunisia', 'France']",GK,€150k,Stade Rennais FC,Without Club,-,23/24
Hákon Arnar Haraldsson,20,['Iceland'],AM,€6.00m,FC Copenhagen,LOSC Lille,€15.00m,23/24
Tiago Santos,20,['Portugal'],RB,€3.50m,GD Estoril Praia,LOSC Lille,€6.50m,23/24
Nabil Bentaleb,28,"['Algeria', 'France']",DM,€7.00m,Angers SCO,LOSC Lille,€4.50m,23/24
Ignacio Miramón,20,"['Argentina', 'Italy']",DM,€4.00m,Club de Gimnasia y Esgrima La Plata,LOSC Lille,€4.00m,23/24
Andrej Ilic,23,['Serbia'],CF,€2.30m,Vålerenga Fotball Elite,LOSC Lille,€3.75m,23/24
Tiago Morais,20,['Portugal'],LW,€2.00m,Boavista FC,LOSC Lille,€3.00m,23/24
Rafael Fernandes,21,['Portugal'],CB,€700k,FC Arouca,LOSC Lille,€2.50m,23/24
Vito Mannone,35,['Italy'],GK,€300k,FC Lorient,LOSC Lille,€200k,23/24
Ivan Cavaleiro,29,"['Angola', 'Portugal']",LW,€2.20m,Fulham FC,LOSC Lille,free transfer,23/24
Samuel Umtiti,29,"['France', 'Cameroon']",CB,€4.00m,FC Barcelona,LOSC Lille,free transfer,23/24
Carlos Baleba,19,['Cameroon'],DM,€5.00m,LOSC Lille,Brighton & Hove Albion,€27.00m,23/24
Timothy Weah,23,"['United States', 'France']",RW,€14.00m,LOSC Lille,Juventus FC,€11.00m,23/24
Tiago Djaló,23,"['Portugal', 'Guinea-Bissau']",CB,€15.00m,LOSC Lille,Juventus FC,€5.10m,23/24
