Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
15,Iván Alejo,ESP,['MF'],Cádiz,28,1995,18.8,17,0,0,49,49,9,151,7,23,0,1,0,87,15,18,45.5,2023-2024
16,Carles Aleñá,ESP,['MF'],Getafe,25,1998,11.3,6,0,0,22,18,3,33,4,8,0,0,0,53,11,19,36.7,2023-2024
17,Mohamed Ali Cho,FRA,"['FW', 'MF']",Real Sociedad,19,2004,2.8,0,0,0,5,6,3,11,1,3,0,0,0,16,3,6,33.3,2023-2024
18,Tadeo Allende,ARG,"['MF', 'FW']",Celta Vigo,24,1999,3.7,1,0,0,2,3,3,10,3,1,0,0,0,19,5,4,55.6,2023-2024
19,Domingos André Ribeiro Almeida,POR,"['FW', 'MF']",Valencia,23,2000,10.7,0,0,0,12,20,1,18,6,15,0,0,0,43,4,15,21.1,2023-2024
20,Marcos Alonso,ESP,['DF'],Barcelona,32,1990,2.8,0,0,0,7,6,0,15,4,3,0,0,0,14,2,4,33.3,2023-2024
21,Adrià Altimira,ESP,"['DF', 'MF']",Villarreal,22,2001,8.6,3,0,0,12,4,0,5,5,7,0,1,0,42,2,7,22.2,2023-2024
22,Sergi Altimira,ESP,['MF'],Betis,21,2001,6.3,1,0,0,8,8,0,1,9,8,0,0,0,41,2,4,33.3,2023-2024
23,Gastón Álvarez,URU,['DF'],Getafe,23,2000,28.2,7,0,0,43,10,1,25,35,37,0,0,0,132,51,30,63.0,2023-2024
24,Hugo Álvarez,ESP,"['MF', 'DF']",Celta Vigo,20,2003,8.5,1,0,0,9,9,1,22,5,9,0,0,0,47,5,6,45.5,2023-2024
25,Yeray Álvarez,ESP,['DF'],Athletic Club,28,1995,12.8,1,1,0,15,14,0,1,11,9,0,0,0,68,43,15,74.1,2023-2024
26,Selim Amallah,MAR,"['FW', 'MF']",Valencia,26,1996,6.7,5,1,1,21,24,1,4,11,12,0,0,0,36,11,15,42.3,2023-2024
27,Amath,SEN,"['FW', 'MF']",Mallorca,27,1996,4.4,2,0,0,10,7,4,7,3,6,1,0,0,21,6,5,54.5,2023-2024
28,Miguel Ángel Rubio,ESP,['DF'],Granada,25,1998,17.3,5,0,0,20,11,1,0,28,12,0,0,0,77,58,30,65.9,2023-2024
29,Fabrizio Angileri,ARG,"['DF', 'MF']",Getafe,29,1994,1.8,2,1,0,1,1,0,8,4,1,0,0,0,15,6,5,54.5,2023-2024
30,Mauro Arambarri,URU,['MF'],Getafe,27,1995,3.8,2,0,0,18,3,0,6,2,2,0,0,0,27,5,8,38.5,2023-2024
31,Jon Aramburu,VEN,['DF'],Real Sociedad,21,2002,6.0,3,0,0,11,5,0,7,7,15,0,0,0,24,7,7,50.0,2023-2024
32,Julian Araujo,MEX,['DF'],Las Palmas,21,2001,16.2,5,0,0,13,9,2,23,10,22,0,0,0,81,29,21,58.0,2023-2024
33,Ronald Araújo,URU,['DF'],Barcelona,24,1999,22.2,6,0,0,25,9,0,8,12,22,0,1,0,102,60,22,73.2,2023-2024
34,Adu Ares,ESP,['FW'],Athletic Club,21,2001,2.9,2,0,0,5,12,1,11,1,4,0,0,0,15,1,3,25.0,2023-2024
35,Jesús Areso,ESP,['DF'],Osasuna,24,1999,29.6,3,0,0,30,20,3,110,18,24,0,0,0,130,28,21,57.1,2023-2024
36,Matias Arezo,URU,['FW'],Granada,20,2002,4.1,1,0,0,6,1,8,4,1,3,0,0,0,13,11,17,39.3,2023-2024
37,Iñigo Arguibide,ESP,['DF'],Osasuna,18,2005,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,2023-2024
38,José Arnaiz,ESP,"['FW', 'MF']",Osasuna,28,1995,10.3,3,0,0,8,19,3,46,3,8,0,0,0,39,11,14,44.0,2023-2024
39,Sergio Arribas,ESP,"['MF', 'FW']",Almería,21,2001,22.7,1,0,0,14,42,1,60,16,17,0,0,0,91,19,24,44.2,2023-2024
40,Kepa Arrizabalaga,ESP,['GK'],Real Madrid,28,1994,13.3,1,0,0,0,2,0,0,0,0,0,0,0,17,2,0,100.0,2023-2024
41,Iago Aspas,ESP,['FW'],Celta Vigo,35,1987,30.1,6,1,0,19,59,12,149,10,6,1,0,0,99,7,30,18.9,2023-2024
42,Ezequiel Ávila,ARG,"['FW', 'MF']",Osasuna,29,1994,9.6,3,2,0,8,20,4,79,4,2,0,0,0,37,10,20,33.3,2023-2024
43,Ezequiel Ávila,ARG,['FW'],Betis,29,1994,3.3,4,1,1,3,12,0,12,1,1,0,0,0,9,4,5,44.4,2023-2024
44,César Azpilicueta,ESP,['DF'],Atlético Madrid,33,1989,15.8,4,0,0,29,12,0,11,16,14,0,0,0,72,21,23,47.7,2023-2024
45,Iddrisu Baba,GHA,['MF'],Almería,27,1996,15.9,5,0,0,29,34,0,4,11,26,0,1,0,123,30,17,63.8,2023-2024
46,Srđan Babić,SRB,['DF'],Almería,27,1996,1.0,0,0,0,2,0,0,0,0,2,0,0,0,4,3,1,75.0,2023-2024
47,Loïc Bade,FRA,['DF'],Sevilla,23,2000,25.3,5,1,0,24,10,1,2,38,41,0,0,0,151,76,38,66.7,2023-2024
48,Alex Baena,ESP,"['MF', 'FW']",Villarreal,22,2001,28.7,11,1,0,52,57,8,175,13,21,1,1,0,116,8,12,40.0,2023-2024
49,Eric Bailly,CIV,['DF'],Villarreal,29,1994,9.3,4,0,0,6,5,0,0,9,3,0,0,1,51,15,7,68.2,2023-2024
50,Cédric Bakambu,COD,['FW'],Betis,32,1991,2.2,1,0,0,4,3,3,0,0,0,0,0,0,4,3,7,30.0,2023-2024
51,Alejandro Balde,ESP,['DF'],Barcelona,19,2003,15.3,1,0,0,9,18,4,37,5,11,0,0,0,67,12,13,48.0,2023-2024
52,Iván Balliu,ALB,['DF'],Rayo Vallecano,31,1992,31.9,4,0,0,41,30,8,68,29,31,0,0,0,127,30,27,52.6,2023-2024
53,Jonathan Bamba,CIV,"['MF', 'FW']",Celta Vigo,27,1996,22.0,0,0,0,15,65,7,50,18,9,0,0,0,101,7,22,24.1,2023-2024
54,Léo Baptistão,BRA,['FW'],Almería,30,1992,20.4,6,1,0,21,29,13,27,11,16,0,0,0,85,48,70,40.7,2023-2024
55,Kike Barja,ESP,"['FW', 'MF']",Osasuna,26,1997,3.4,3,0,0,8,4,1,23,2,2,0,0,0,16,3,5,37.5,2023-2024
56,Ander Barrenetxea,ESP,"['FW', 'MF']",Real Sociedad,21,2001,15.9,1,0,0,27,22,3,47,6,21,0,0,0,83,14,24,36.8,2023-2024
57,Pablo Barrios,ESP,['MF'],Atlético Madrid,20,2003,17.3,5,0,0,23,24,0,16,28,25,0,0,0,94,14,21,40.0,2023-2024
58,Marc Bartra,ESP,['DF'],Betis,32,1991,2.5,1,0,0,4,1,0,0,3,3,0,0,0,15,4,4,50.0,2023-2024
59,Augusto Batalla,ARG,['GK'],Granada,27,1996,17.0,3,0,0,0,2,0,0,0,0,0,0,0,28,3,0,100.0,2023-2024
60,Bebé,CPV,"['MF', 'FW']",Rayo Vallecano,33,1990,2.4,1,0,0,0,2,3,28,0,2,0,0,0,12,1,4,20.0,2023-2024
61,Sheraldo Becker,SUR,"['FW', 'MF']",Real Sociedad,28,1995,8.6,1,0,0,11,5,6,46,1,2,0,0,0,27,5,12,29.4,2023-2024
62,Héctor Bellerín,ESP,['DF'],Betis,28,1995,19.0,0,1,0,21,10,1,40,22,22,0,0,1,86,16,33,32.7,2023-2024
63,Jude Bellingham,ENG,['MF'],Real Madrid,20,2003,25.7,5,1,0,32,72,4,21,21,34,0,0,0,118,24,25,49.0,2023-2024
64,Fran Beltrán,ESP,['MF'],Celta Vigo,24,1999,27.0,2,0,0,28,16,2,19,18,32,0,2,0,160,13,33,28.3,2023-2024
65,Carlos Benavídez,URU,['MF'],Alavés,25,1998,12.6,5,0,0,38,9,1,4,19,35,0,2,0,72,35,30,53.8,2023-2024
