Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
185,Valery Fernández,ESP,"['MF', 'DF']",Girona,22,1999,10.7,12,6,4,6,2,5,9,55.6,4,8,1,7,10,22,9,1,2022-2023
186,Fernando,ESP,['GK'],Almería,32,1990,36.5,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,20,3,2022-2023
187,Fernando,BRA,"['MF', 'DF']",Sevilla,35,1987,17.5,34,23,14,17,3,18,30,60.0,12,21,10,11,24,58,29,0,2022-2023
188,Fidel,ESP,"['MF', 'FW']",Elche,32,1989,19.0,15,10,8,5,2,4,38,10.5,34,9,0,9,5,20,8,0,2022-2023
189,Dimitri Foulquier,FRA,['DF'],Valencia,29,1993,19.3,31,19,17,8,6,20,28,71.4,8,19,3,16,14,45,40,0,2022-2023
190,Juan Foyth,ARG,['DF'],Villarreal,24,1998,21.8,73,48,49,22,2,41,57,71.9,16,32,11,21,20,93,68,0,2022-2023
191,Iván Fresneda,ESP,['DF'],Valladolid,17,2004,19.4,48,34,31,13,4,29,47,61.7,18,32,8,24,15,63,60,0,2022-2023
192,Javi Galán,ESP,['DF'],Celta Vigo,27,1994,35.1,104,72,60,40,4,48,98,49.0,50,54,5,49,41,145,63,1,2022-2023
193,Iñigo Ruiz de Galarreta,ESP,['MF'],Mallorca,28,1993,27.2,54,38,27,23,4,20,52,38.5,32,26,9,17,30,84,19,0,2022-2023
194,Aleix García,ESP,['MF'],Girona,25,1997,26.0,37,20,9,18,10,15,33,45.5,18,24,8,16,31,68,35,1,2022-2023
195,Álvaro García,ESP,"['FW', 'MF']",Rayo Vallecano,29,1992,31.9,49,28,21,13,15,11,33,33.3,22,41,4,37,34,83,24,1,2022-2023
196,Borja García,ESP,"['MF', 'FW']",Girona,31,1990,7.5,10,4,7,2,1,2,9,22.2,7,3,1,2,5,15,6,1,2022-2023
197,Carlos García,ESP,['DF'],Cádiz,22,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2022-2023
198,Dani García,ESP,['MF'],Athletic Club,32,1990,16.5,46,27,17,25,4,29,47,61.7,18,21,6,15,19,65,21,1,2022-2023
199,David García,ESP,['DF'],Osasuna,28,1994,29.8,34,20,22,12,0,19,22,86.4,3,28,13,15,45,79,151,0,2022-2023
200,Eric García,ESP,"['DF', 'MF']",Barcelona,21,2001,15.7,24,16,16,5,3,9,20,45.0,11,23,10,13,19,43,36,1,2022-2023
201,Fran Garcia,ESP,['DF'],Rayo Vallecano,22,1999,37.9,84,54,53,23,8,55,96,57.3,41,49,8,41,44,128,66,0,2022-2023
202,Joan García,ESP,['GK'],Espanyol,21,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022-2023
203,Raúl García,ESP,"['FW', 'MF']",Athletic Club,36,1986,10.7,12,8,3,4,5,5,15,33.3,10,13,1,12,6,18,9,0,2022-2023
204,Rubén García,ESP,"['FW', 'MF']",Osasuna,29,1993,12.9,20,11,12,4,4,7,24,29.2,17,14,1,13,12,32,13,0,2022-2023
205,Unai García,ESP,['DF'],Osasuna,30,1992,19.0,23,13,13,8,2,12,17,70.6,5,23,14,9,19,42,60,2,2022-2023
206,Felix Garreta,ESP,['DF'],Betis,18,2004,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0,2022-2023
207,Aleix Garrido,ESP,['FW'],Barcelona,18,2004,0.1,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0,2022-2023
208,Sékou Gassama,SEN,['FW'],Valladolid,27,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022-2023
209,Gavi,ESP,"['MF', 'FW']",Barcelona,17,2004,28.1,47,31,7,30,10,21,55,38.2,34,32,5,27,18,65,22,0,2022-2023
210,Paulo Gazzaniga,ARG,['GK'],Girona,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,5,2022-2023
211,Bryan Gil,ESP,"['FW', 'DF']",Sevilla,21,2001,10.2,22,11,11,7,4,10,23,43.5,13,10,0,10,8,30,10,0,2022-2023
212,David Gil,ESP,['GK'],Cádiz,28,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,2022-2023
213,Óscar Gil,ESP,['DF'],Espanyol,25,1997,28.4,63,37,38,16,9,32,61,52.5,29,51,18,33,31,94,55,1,2022-2023
214,Álvaro Giménez,ESP,['FW'],Cádiz,31,1991,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,2022-2023
215,Dani Gómez,ESP,"['MF', 'FW']",Espanyol,24,1998,1.0,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,2022-2023
216,Maxi Gómez,URU,['FW'],Valencia,25,1996,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2022-2023
217,Moi Gómez,ESP,"['MF', 'FW']",Osasuna,28,1994,27.3,26,17,9,14,3,15,32,46.9,17,15,3,12,10,36,5,1,2022-2023
218,Papu Gómez,ARG,"['FW', 'MF']",Sevilla,34,1988,11.8,6,4,3,3,0,2,10,20.0,8,8,1,7,4,10,5,0,2022-2023
219,Sergi Gómez,ESP,['DF'],Espanyol,30,1992,26.0,29,16,20,9,0,18,22,81.8,4,33,19,14,27,56,125,1,2022-2023
220,Antonio Gomis,ESP,['GK'],Atlético Madrid,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022-2023
221,Diego González,ESP,['DF'],Elche,27,1995,10.6,12,7,9,3,0,7,11,63.6,4,14,12,2,7,19,50,1,2022-2023
222,Édgar González,ESP,['DF'],Betis,25,1997,19.7,28,19,18,7,3,14,27,51.9,13,12,9,3,21,49,120,0,2022-2023
223,Giovanni González,URU,['DF'],Mallorca,27,1994,10.3,16,8,11,2,3,9,22,40.9,13,8,2,6,7,23,22,0,2022-2023
224,Nicolás González,ESP,['MF'],Valencia,20,2002,15.6,27,15,11,13,3,9,25,36.0,16,21,7,14,19,46,16,0,2022-2023
225,Roberto González,ESP,"['FW', 'MF']",Betis,21,2001,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,2022-2023
226,Andoni Gorosabel,ESP,['DF'],Real Sociedad,25,1996,19.0,41,25,23,9,9,26,43,60.5,17,21,2,19,17,58,23,0,2022-2023
227,José Gragera,ESP,"['MF', 'DF']",Espanyol,21,2000,5.1,19,9,11,6,2,6,11,54.5,5,10,4,6,7,26,18,0,2022-2023
228,Ivo Grbić,CRO,['GK'],Atlético Madrid,26,1996,10.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,2022-2023
229,Dominik Greif,SVK,['GK'],Mallorca,25,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022-2023
230,Clément Grenier,FRA,['MF'],Mallorca,31,1991,8.0,20,8,6,12,2,10,20,50.0,10,9,1,8,6,26,7,0,2022-2023
231,Antoine Griezmann,FRA,"['FW', 'MF']",Atlético Madrid,31,1991,31.8,49,34,15,23,11,20,66,30.3,46,34,3,31,24,73,31,0,2022-2023
232,Andrés Guardado,MEX,['MF'],Betis,35,1986,15.3,41,25,17,20,4,18,43,41.9,25,14,5,9,23,64,29,0,2022-2023
233,Sergi Guardiola,ESP,['FW'],Valladolid,31,1991,5.6,12,7,6,5,1,2,4,50.0,2,6,0,6,2,14,7,0,2022-2023
234,Sergi Guardiola,ESP,['FW'],Cádiz,31,1991,12.9,9,7,0,6,3,3,12,25.0,9,5,0,5,3,12,7,0,2022-2023
235,Nemanja Gudelj,SRB,"['DF', 'MF']",Sevilla,30,1991,30.9,43,33,22,18,3,20,33,60.6,13,39,29,10,34,77,102,1,2022-2023
236,Javier Guerra,ESP,['MF'],Valencia,19,2003,6.7,16,13,7,4,5,9,20,45.0,11,8,1,7,11,27,9,0,2022-2023
237,Ander Guevara,ESP,['MF'],Real Sociedad,25,1997,2.5,5,2,2,2,1,1,4,25.0,3,6,1,5,2,7,3,0,2022-2023
238,Pape Gueye,SEN,['MF'],Sevilla,23,1999,13.0,37,22,13,21,3,16,33,48.5,17,21,5,16,22,59,10,0,2022-2023
239,Hugo Guillamón,ESP,['MF'],Valencia,22,2000,18.1,20,12,10,8,2,8,24,33.3,16,14,2,12,19,39,30,2,2022-2023
240,Gerard Gumbau,ESP,['MF'],Elche,27,1994,30.4,44,25,17,23,4,18,51,35.3,33,32,8,24,28,72,40,0,2022-2023
241,Gorka Guruzeta,ESP,['FW'],Athletic Club,25,1996,15.8,24,20,6,12,6,11,24,45.8,13,23,2,21,4,28,8,0,2022-2023
242,Raúl Guti,ESP,['MF'],Elche,25,1996,12.4,18,12,8,9,1,8,18,44.4,10,10,3,7,8,26,6,0,2022-2023
243,Miguel Gutiérrez,ESP,['DF'],Girona,21,2001,26.6,41,23,23,13,5,23,37,62.2,14,23,5,18,18,59,42,1,2022-2023
244,Munir El Haddadi,MAR,"['MF', 'FW']",Getafe,26,1995,12.8,12,7,3,7,2,2,10,20.0,8,23,2,21,9,21,7,0,2022-2023
245,Dennis Hadzikadunic,BIH,['DF'],Mallorca,24,1998,6.8,9,6,4,5,0,4,4,100.0,0,5,4,1,3,12,27,0,2022-2023
246,Haissem Hassan,FRA,"['FW', 'MF']",Villarreal,20,2002,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,2022-2023
247,Eden Hazard,BEL,['FW'],Real Madrid,31,1991,2.2,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,2022-2023
248,Luiz Henrique,BRA,['FW'],Betis,21,2001,20.1,48,34,27,15,6,20,44,45.5,24,22,0,22,14,62,17,0,2022-2023
