Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Konstantinos Mavropanos,GRE,['DF'],West Ham,25,1997,19,16,"1,500",16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,2023-2024
Bryan Mbeumo,CMR,['FW'],Brentford,23,1999,25,22,"1,960",21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,2023-2024
James Mcatee,ENG,"['MF', 'FW']",Sheffield Utd,20,2002,30,20,"1,822",20.2,3,3,6,2,1,1,2,0,3.1,2.3,2.9,5.2,2023-2024
James Mcatee,ENG,['MF'],Manchester City,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Oliver McBurnie,SCO,['FW'],Sheffield Utd,27,1996,21,15,"1,280",14.2,6,3,9,4,2,2,7,2,6.9,5.3,2.0,7.3,2023-2024
James McConnell,ENG,['MF'],Liverpool,18,2004,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
John McGinn,SCO,"['MF', 'FW']",Aston Villa,28,1994,35,35,"2,999",33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,2023-2024
Scott McKenna,SCO,['DF'],Nott'ham Forest,26,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2023-2024
Dwight McNeil,ENG,"['MF', 'FW']",Everton,23,1999,35,33,"2,892",32.1,3,6,9,3,0,0,2,0,3.4,3.4,8.8,12.2,2023-2024
Scott McTominay,SCO,"['MF', 'FW']",Manchester Utd,26,1996,32,18,"1,901",21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,2023-2024
Ben Mee,ENG,['DF'],Brentford,33,1989,16,15,"1,272",14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,2023-2024
Hannibal Mejbri,TUN,"['MF', 'FW']",Manchester Utd,20,2003,5,1,133,1.5,1,0,1,1,0,0,1,0,0.0,0.0,0.4,0.4,2023-2024
Teden Mengi,ENG,['DF'],Luton Town,21,2002,30,28,"2,469",27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,2023-2024
Chris Mepham,WAL,['DF'],Bournemouth,25,1997,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,2023-2024
Lewis Miley,ENG,['MF'],Newcastle Utd,17,2006,17,14,"1,202",13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.7,2.9,2023-2024
James Milner,ENG,"['DF', 'MF']",Brighton,37,1986,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.0,2023-2024
Tyrone Mings,ENG,['DF'],Aston Villa,30,1993,1,1,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Tyrick Mitchell,ENG,"['DF', 'MF']",Crystal Palace,23,1999,37,37,"3,204",35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,2023-2024
Kaoru Mitoma,JPN,['FW'],Brighton,26,1997,19,15,"1,486",16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,2023-2024
Aleksandar Mitrović,SRB,['FW'],Fulham,28,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2023-2024
Jakub Moder,POL,"['MF', 'DF']",Brighton,24,1999,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,2023-2024
Gonzalo Montiel,ARG,['DF'],Nott'ham Forest,26,1997,14,8,801,8.9,0,2,2,0,0,0,5,0,0.1,0.1,1.4,1.5,2023-2024
Kieffer Moore,WAL,"['FW', 'MF']",Bournemouth,30,1992,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,2023-2024
Mikey Moore,ENG,['MF'],Tottenham,15,2007,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Álex Moreno,ESP,['DF'],Aston Villa,30,1993,21,11,"1,031",11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,2023-2024
Carlton Morris,ENG,"['FW', 'MF']",Luton Town,27,1995,38,32,"2,862",31.8,11,4,15,6,5,5,4,0,11.4,7.5,2.8,10.2,2023-2024
Mason Mount,ENG,"['MF', 'FW']",Manchester Utd,24,1999,14,5,516,5.7,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,2023-2024
Divin Mubama,ENG,['FW'],West Ham,18,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Mykhailo Mudryk,UKR,['FW'],Chelsea,22,2001,31,18,"1,576",17.5,5,2,7,5,0,0,5,0,4.4,4.4,4.1,8.5,2023-2024
Rodrigo Muniz,BRA,['FW'],Fulham,22,2001,26,18,"1,593",17.7,9,1,10,9,0,0,1,0,8.7,8.7,2.0,10.7,2023-2024
Daniel Muñoz,COL,"['DF', 'MF']",Crystal Palace,27,1996,16,16,"1,439",16.0,0,4,4,0,0,0,4,0,1.2,1.2,2.4,3.7,2023-2024
Finley Munroe,ENG,['MF'],Aston Villa,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Arijanet Muric,KVX,['GK'],Burnley,24,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2023-2024
Murillo,BRA,['DF'],Nott'ham Forest,21,2002,32,32,"2,789",31.0,0,2,2,0,0,0,5,0,1.8,1.8,1.2,3.0,2023-2024
Alex Murphy,IRL,"['DF', 'FW']",Newcastle Utd,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Jacob Murphy,ENG,"['FW', 'DF']",Newcastle Utd,28,1995,21,14,"1,189",13.2,3,7,10,3,0,0,1,0,2.1,2.1,5.0,7.1,2023-2024
Vitaliy Mykolenko,UKR,['DF'],Everton,24,1999,28,28,"2,469",27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,2023-2024
Marvelous Nakamba,ZIM,['MF'],Luton Town,29,1994,13,13,"1,130",12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,2023-2024
Michael Ndiweni,ENG,['FW'],Newcastle Utd,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Reiss Nelson,ENG,['FW'],Arsenal,23,1999,15,1,268,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,2023-2024
Zack Nelson,ENG,"['MF', 'DF']",Luton Town,18,2004,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Neto,BRA,['GK'],Bournemouth,34,1989,32,32,"2,880",32.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,2023-2024
Pedro Neto,POR,"['FW', 'MF']",Wolves,23,2000,20,18,"1,516",16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,2023-2024
Moussa Niakhate,SEN,['DF'],Nott'ham Forest,27,1996,21,15,"1,460",16.2,1,0,1,1,0,0,5,1,1.1,1.1,0.1,1.2,2023-2024
Eddie Nketiah,ENG,['FW'],Arsenal,24,1999,27,10,"1,082",12.0,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,2023-2024
Christopher Nkunku,FRA,"['FW', 'MF']",Chelsea,25,1997,11,2,443,4.9,3,0,3,3,0,0,0,0,2.3,2.3,0.2,2.5,2023-2024
Rhys Norrington-Davies,WAL,['DF'],Sheffield Utd,24,1999,5,2,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Oliver Norwood,NIR,['MF'],Sheffield Utd,32,1991,27,16,"1,440",16.0,1,0,1,0,1,1,8,0,1.1,0.3,0.6,0.9,2023-2024
Matheus Nunes,POR,['MF'],Wolves,24,1998,2,2,179,2.0,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,2023-2024
