Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
16,Bruno Amione,ARG,['DF'],Hellas Verona,20,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1,2022-2023
17,Bruno Amione,ARG,['DF'],Sampdoria,20,2002,23.2,1032,948,81,33,0,0,5,48,0,0,0,0,821,3,23,2022-2023
18,Ethan Ampadu,WAL,"['DF', 'MF']",Spezia,21,2000,29.3,1548,1426,116,46,3,17,11,47,0,0,0,0,1254,6,20,2022-2023
19,Sofyan Amrabat,MAR,['MF'],Fiorentina,25,1996,22.2,1490,1396,91,80,1,22,26,9,1,0,0,0,1323,3,25,2022-2023
20,Felipe Anderson,BRA,['FW'],Lazio,29,1993,32.9,1410,1370,34,2,4,8,50,21,3,1,2,0,1093,6,41,2022-2023
21,Janis Antiste,FRA,['FW'],Sassuolo,19,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,2022-2023
22,Marcos Antônio,BRA,['MF'],Lazio,22,2000,6.6,420,418,2,2,1,0,0,0,0,0,0,0,380,0,5,2022-2023
23,Valentin Antov,BUL,['DF'],Monza,21,2000,3.4,229,213,16,4,0,1,2,12,0,0,0,0,201,0,1,2022-2023
24,Marko Arnautović,AUT,['FW'],Bologna,33,1989,17.0,467,420,40,0,3,0,9,4,0,0,0,0,328,7,15,2022-2023
25,Tolgay Arslan,GER,['MF'],Udinese,31,1990,13.5,605,556,48,27,0,15,28,6,14,7,1,0,485,1,14,2022-2023
26,Santiago Ascacíbar,ARG,['MF'],Cremonese,25,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9,2022-2023
27,Kristoffer Askildsen,NOR,['MF'],Lecce,21,2001,8.1,269,234,34,11,0,8,19,5,15,7,6,0,165,1,8,2022-2023
28,Kristjan Asllani,ALB,['MF'],Inter,20,2002,6.6,457,426,30,13,1,5,21,1,16,5,9,0,402,1,4,2022-2023
29,Emil Audero,IDN,['GK'],Sampdoria,25,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2,2022-2023
30,Tommaso Augello,ITA,['DF'],Sampdoria,27,1994,34.0,1774,1408,365,49,0,5,170,295,21,6,15,0,1283,1,71,2022-2023
31,Carlos Augusto,BRA,['DF'],Monza,23,1999,34.3,1719,1409,305,20,2,7,54,280,0,0,0,0,1430,5,49,2022-2023
32,Kaan Ayhan,TUR,['DF'],Sassuolo,27,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2,2022-2023
33,Jaime Báez,URU,['DF'],Cremonese,27,1995,1.1,48,44,4,2,0,0,9,0,2,0,1,0,32,0,2,2022-2023
34,Nedim Bajrami,ALB,"['MF', 'FW']",Empoli,23,1999,10.4,348,305,43,9,0,4,35,8,18,10,5,0,260,0,8,2022-2023
35,Nedim Bajrami,ALB,"['FW', 'MF']",Sassuolo,23,1999,9.1,355,307,48,9,0,0,57,5,34,17,13,0,245,0,15,2022-2023
36,Tiemoué Bakayoko,FRA,['MF'],Milan,27,1994,0.5,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0,2022-2023
