Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
464,Jérémy Sebas,MTQ,"['FW', 'MF']",Strasbourg,20,2003,4.4,74,72,2,0,0,0,4,1,0,0,0,0,52,0,2,2023-2024
465,Alidu Seidu,GHA,['DF'],Rennes,23,2000,6.6,362,318,43,6,0,1,6,37,0,0,0,0,309,1,3,2023-2024
466,Alidu Seidu,GHA,['DF'],Clermont Foot,23,2000,12.6,756,687,65,10,0,2,4,55,0,0,0,0,623,4,7,2023-2024
467,Matz Sels,BEL,['GK'],Strasbourg,31,1992,19.0,619,452,166,53,0,0,0,0,0,0,0,0,452,1,0,2023-2024
468,Marvin Senaya,TOG,"['DF', 'MF']",Strasbourg,22,2001,23.8,1120,903,216,31,1,3,79,184,1,0,1,0,871,1,23,2023-2024
469,Sofiane Sidi Ali,FRA,['MF'],Marseille,28,1995,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,2023-2024
470,Vincent Sierro,SUI,['MF'],Toulouse,27,1995,25.1,1316,1146,166,59,4,13,111,6,81,30,44,0,1020,4,28,2023-2024
471,Caio Henrique Oliveira Silva,BRA,['DF'],Monaco,26,1997,6.9,464,369,94,15,2,0,36,56,23,4,13,0,376,1,13,2023-2024
472,Moses Simon,NGA,"['FW', 'MF']",Nantes,28,1995,19.9,508,472,30,4,4,4,114,6,13,3,5,0,318,6,41,2023-2024
473,Wilfried Singo,CIV,['DF'],Monaco,22,2000,24.3,1490,1411,76,42,2,4,21,34,0,0,0,0,1282,3,11,2023-2024
474,Ayanda Sishuba,BEL,"['MF', 'FW']",Lens,18,2005,0.7,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,2023-2024
475,Ibrahima Sissoko,MLI,['MF'],Strasbourg,25,1997,18.2,752,737,13,12,2,2,2,1,0,0,0,0,614,2,4,2023-2024
476,Moussa Sissoko,FRA,['MF'],Nantes,33,1989,20.2,681,655,24,11,3,3,18,11,1,0,0,0,547,2,19,2023-2024
477,Milan Škriniar,SVK,['DF'],Paris S-G,28,1995,18.1,1820,1773,45,30,0,4,1,5,0,0,0,0,1735,2,3,2023-2024
478,Naatan Skyttä,FIN,"['MF', 'FW']",Toulouse,21,2002,1.3,61,59,2,0,0,0,2,0,1,1,0,0,56,0,0,2023-2024
479,Eduard Sobol,UKR,['DF'],Strasbourg,28,1995,0.3,13,11,2,0,0,0,2,2,0,0,0,0,8,0,1,2023-2024
480,Emran Soglo,FRA,"['MF', 'DF']",Marseille,18,2005,1.2,39,38,1,0,0,0,5,1,0,0,0,0,31,0,1,2023-2024
481,Carlos Soler,ESP,"['MF', 'DF']",Paris S-G,26,1997,12.1,782,736,44,17,4,2,23,19,6,1,1,0,670,2,18,2023-2024
482,Florian Sotoca,FRA,"['MF', 'FW']",Lens,32,1990,28.9,1445,1361,74,11,12,8,95,55,2,0,0,0,1071,10,47,2023-2024
483,Issa Soumaré,SEN,"['FW', 'MF']",Le Havre,22,2000,2.6,62,58,3,0,0,0,2,1,0,0,0,0,33,1,6,2023-2024
484,Saidou Sow,GUI,['DF'],Strasbourg,21,2002,8.0,353,338,15,14,2,2,0,1,0,0,0,0,301,0,3,2023-2024
485,Stijn Spierings,NED,['MF'],Toulouse,27,1996,16.8,1089,1037,48,38,3,15,11,7,2,1,1,0,944,4,17,2023-2024
486,Stijn Spierings,NED,['MF'],Lens,27,1996,1.3,59,59,0,0,0,1,1,0,0,0,0,0,50,0,2,2023-2024
487,Benjamin Stambouli,FRA,['MF'],Reims,32,1990,3.2,130,129,1,1,0,0,2,0,0,0,0,0,95,0,3,2023-2024
488,Gabriel Suazo,CHI,['DF'],Toulouse,25,1997,26.2,1482,1220,258,48,8,8,101,189,21,8,11,0,1163,4,41,2023-2024
489,Abakar Sylla,CIV,['DF'],Strasbourg,20,2002,19.9,1266,1186,79,30,0,7,3,17,0,0,0,0,1111,1,5,2023-2024
490,Dembo Sylla,GUI,['DF'],Lorient,20,2002,0.5,22,18,4,0,0,1,4,4,0,0,0,0,19,0,1,2023-2024
491,Issiaga Sylla,GUI,"['DF', 'FW']",Montpellier,29,1994,16.2,719,564,150,10,0,2,43,140,0,0,0,0,528,5,24,2023-2024
492,Musa Al-Taamari,JOR,['FW'],Montpellier,26,1997,21.4,553,515,35,7,4,3,22,19,3,1,0,0,402,3,34,2023-2024
493,Nicolás Tagliafico,ARG,['DF'],Lyon,30,1992,23.6,1175,1017,153,15,3,0,40,137,1,0,0,0,999,5,21,2023-2024
494,Montassar Talbi,TUN,['DF'],Lorient,25,1998,24.5,1188,1147,35,22,0,5,3,5,0,0,0,0,1008,6,6,2023-2024
495,Oussama Targhalline,MAR,['MF'],Le Havre,21,2002,11.4,704,689,13,9,2,2,8,3,1,0,0,0,600,2,15,2023-2024
496,Enzo Tchato,CMR,['DF'],Montpellier,20,2002,12.5,639,526,111,9,0,1,49,102,0,0,0,0,478,2,17,2023-2024
497,Arnau Tenas,ESP,['GK'],Paris S-G,22,2001,5.9,211,169,42,5,1,0,0,0,0,0,0,0,173,0,0,2023-2024
498,Martin Terrier,FRA,"['FW', 'MF']",Rennes,26,1997,17.0,497,480,16,2,2,0,5,0,0,0,0,0,395,1,7,2023-2024
499,Benjamin Tetteh,GHA,"['FW', 'MF']",Metz,26,1997,3.1,77,71,6,0,0,0,1,0,0,0,0,0,49,0,4,2023-2024
500,Teddy Teuma,MLT,['MF'],Reims,29,1993,23.5,1512,1307,197,85,6,17,139,16,77,35,36,0,1181,8,36,2023-2024
501,Arthur Theate,BEL,['DF'],Rennes,23,2000,25.5,1640,1565,72,47,0,14,11,22,0,0,0,0,1444,3,7,2023-2024
502,Adrien Thomasson,FRA,['MF'],Lens,29,1993,13.3,679,638,38,18,1,1,47,2,18,2,11,0,506,3,31,2023-2024
503,Khéphren Thuram,FRA,['MF'],Nice,22,2001,23.4,1134,1113,17,15,8,0,20,2,0,0,0,0,978,4,14,2023-2024
504,Cheikh Tidiane Sabaly,SEN,"['FW', 'MF']",Metz,24,1999,15.3,370,367,3,0,1,2,12,3,0,0,0,0,290,0,13,2023-2024
